"BRANCHES","ID","STNAME","TOTAL","YEAR"
5912,"CB_2017_TX","Texas",423,"2017"
77821,"CB_2017_US","United States",4909,"2017"
78196,"CB_2017_USA","United States & Other Areas",4918,"2017"
494,"CB_2017_UT","Utah",42,"2017"
2275,"CB_2017_VA","Virginia",75,"2017"
21,"CB_2017_VI","Virgin Islands Of The U.S.",1,"2017"
189,"CB_2017_VT","Vermont",6,"2017"
1627,"CB_2017_WA","Washington",37,"2017"
1652,"CB_2017_WI","Wisconsin",185,"2017"
564,"CB_2017_WV","West Virginia",51,"2017"
183,"CB_2017_WY","Wyoming",30,"2017"
120,"CB_2016_AK","Alaska",4,"2016"
1379,"CB_2016_AL","Alabama",123,"2016"
1256,"CB_2016_AR","Arkansas",100,"2016"
4,"CB_2016_AS","American Samoa",0,"2016"
1183,"CB_2016_AZ","Arizona",16,"2016"
6772,"CB_2016_CA","California",167,"2016"
1391,"CB_2016_CO","Colorado",79,"2016"
828,"CB_2016_CT","Connecticut",14,"2016"
220,"CB_2016_DC","District Of Columbia",3,"2016"
198,"CB_2016_DE","Delaware",19,"2016"
4949,"CB_2016_FL","Florida",138,"2016"
11,"CB_2016_FM","Federated States of Micronesia",1,"2016"
2199,"CB_2016_GA","Georgia",171,"2016"
19,"CB_2016_GU","Guam",2,"2016"
0,"CB_2016_HI","Hawaii",6,"2016"
1237,"CB_2016_IA","Iowa",297,"2016"
480,"CB_2016_ID","Idaho",11,"2016"
3901,"CB_2016_IL","Illinois",414,"2016"
1911,"CB_2016_IN","Indiana",87,"2016"
1130,"CB_2016_KS","Kansas",253,"2016"
1489,"CB_2016_KY","Kentucky",152,"2016"
1380,"CB_2016_LA","Louisiana",112,"2016"
1289,"CB_2016_MA","Massachusetts",20,"2016"
1444,"CB_2016_MD","Maryland",35,"2016"
265,"CB_2016_ME","Maine",6,"2016"
1,"CB_2016_MH","Marshall Islands",0,"2016"
2447,"CB_2016_MI","Michigan",93,"2016"
1330,"CB_2016_MN","Minnesota",298,"2016"
2032,"CB_2016_MO","Missouri",266,"2016"
8,"CB_2016_MP","Northern Mariana Islands",0,"2016"
1098,"CB_2016_MS","Mississippi",75,"2016"
332,"CB_2016_MT","Montana",50,"2016"
2348,"CB_2016_NC","North Carolina",41,"2016"
317,"CB_2016_ND","North Dakota",76,"2016"
868,"CB_2016_NE","Nebraska",175,"2016"
275,"CB_2016_NH","New Hampshire",5,"2016"
2309,"CB_2016_NJ","New Jersey",46,"2016"
425,"CB_2016_NM","New Mexico",37,"2016"
477,"CB_2016_NV","Nevada",15,"2016"
4227,"CB_2016_NY","New York",100,"2016"
3260,"CB_2016_OH","Ohio",122,"2016"
1083,"CB_2016_OK","Oklahoma",206,"2016"
983,"CB_2016_OR","Oregon",21,"2016"
392,"CB_2016_OT","Other Areas",10,"2016"
3307,"CB_2016_PA","Pennsylvania",107,"2016"
323,"CB_2016_PR","Puerto Rico",5,"2016"
2,"CB_2016_PW","Palau",0,"2016"
211,"CB_2016_RI","Rhode Island",5,"2016"
1247,"CB_2016_SC","South Carolina",44,"2016"
383,"CB_2016_SD","South Dakota",66,"2016"
1989,"CB_2016_TN","Tennessee",147,"2016"
6018,"CB_2016_TX","Texas",430,"2016"
79107,"CB_2016_US","United States",5102,"2016"
79499,"CB_2016_USA","United States & Other Areas",5112,"2016"
503,"CB_2016_UT","Utah",45,"2016"
2347,"CB_2016_VA","Virginia",80,"2016"
24,"CB_2016_VI","Virgin Islands Of The U.S.",2,"2016"
180,"CB_2016_VT","Vermont",7,"2016"
1640,"CB_2016_WA","Washington",39,"2016"
1685,"CB_2016_WI","Wisconsin",195,"2016"
577,"CB_2016_WV","West Virginia",54,"2016"
188,"CB_2016_WY","Wyoming",30,"2016"
120,"CB_2015_AK","Alaska",4,"2015"
1398,"CB_2015_AL","Alabama",124,"2015"
1275,"CB_2015_AR","Arkansas",103,"2015"
4,"CB_2015_AS","American Samoa",0,"2015"
1208,"CB_2015_AZ","Arizona",17,"2015"
6846,"CB_2015_CA","California",182,"2015"
1434,"CB_2015_CO","Colorado",82,"2015"
852,"CB_2015_CT","Connecticut",14,"2015"
224,"CB_2015_DC","District Of Columbia",4,"2015"
199,"CB_2015_DE","Delaware",19,"2015"
5058,"CB_2015_FL","Florida",148,"2015"
11,"CB_2015_FM","Federated States of Micronesia",1,"2015"
2242,"CB_2015_GA","Georgia",183,"2015"
20,"CB_2015_GU","Guam",2,"2015"
0,"CB_2015_HI","Hawaii",6,"2015"
1246,"CB_2015_IA","Iowa",305,"2015"
495,"CB_2015_ID","Idaho",11,"2015"
3961,"CB_2015_IL","Illinois",429,"2015"
1937,"CB_2015_IN","Indiana",92,"2015"
1129,"CB_2015_KS","Kansas",260,"2015"
1510,"CB_2015_KY","Kentucky",157,"2015"
1408,"CB_2015_LA","Louisiana",114,"2015"
1311,"CB_2015_MA","Massachusetts",21,"2015"
1470,"CB_2015_MD","Maryland",39,"2015"
270,"CB_2015_ME","Maine",6,"2015"
1,"CB_2015_MH","Marshall Islands",0,"2015"
2527,"CB_2015_MI","Michigan",99,"2015"
1333,"CB_2015_MN","Minnesota",312,"2015"
2045,"CB_2015_MO","Missouri",279,"2015"
9,"CB_2015_MP","Northern Mariana Islands",0,"2015"
1107,"CB_2015_MS","Mississippi",76,"2015"
332,"CB_2015_MT","Montana",54,"2015"
2407,"CB_2015_NC","North Carolina",44,"2015"
319,"CB_2015_ND","North Dakota",76,"2015"
860,"CB_2015_NE","Nebraska",181,"2015"
279,"CB_2015_NH","New Hampshire",5,"2015"
2379,"CB_2015_NJ","New Jersey",51,"2015"
435,"CB_2015_NM","New Mexico",37,"2015"
478,"CB_2015_NV","Nevada",15,"2015"
4407,"CB_2015_NY","New York",103,"2015"
3308,"CB_2015_OH","Ohio",126,"2015"
1083,"CB_2015_OK","Oklahoma",209,"2015"
1013,"CB_2015_OR","Oregon",22,"2015"
421,"CB_2015_OT","Other Areas",10,"2015"
3398,"CB_2015_PA","Pennsylvania",113,"2015"
350,"CB_2015_PR","Puerto Rico",5,"2015"
2,"CB_2015_PW","Palau",0,"2015"
212,"CB_2015_RI","Rhode Island",5,"2015"
1271,"CB_2015_SC","South Carolina",48,"2015"
384,"CB_2015_SD","South Dakota",69,"2015"
2023,"CB_2015_TN","Tennessee",158,"2015"
6142,"CB_2015_TX","Texas",447,"2015"
80537,"CB_2015_US","United States",5330,"2015"
80958,"CB_2015_USA","United States & Other Areas",5340,"2015"
525,"CB_2015_UT","Utah",46,"2015"
2423,"CB_2015_VA","Virginia",88,"2015"
24,"CB_2015_VI","Virgin Islands Of The U.S.",2,"2015"
180,"CB_2015_VT","Vermont",7,"2015"
1640,"CB_2015_WA","Washington",40,"2015"
1661,"CB_2015_WI","Wisconsin",214,"2015"
585,"CB_2015_WV","West Virginia",56,"2015"
188,"CB_2015_WY","Wyoming",30,"2015"
122,"CB_2014_AK","Alaska",4,"2014"
1396,"CB_2014_AL","Alabama",127,"2014"
1263,"CB_2014_AR","Arkansas",106,"2014"
4,"CB_2014_AS","American Samoa",0,"2014"
1243,"CB_2014_AZ","Arizona",21,"2014"
6968,"CB_2014_CA","California",197,"2014"
1464,"CB_2014_CO","Colorado",88,"2014"
714,"CB_2014_CT","Connecticut",14,"2014"
226,"CB_2014_DC","District Of Columbia",4,"2014"
205,"CB_2014_DE","Delaware",19,"2014"
5128,"CB_2014_FL","Florida",165,"2014"
11,"CB_2014_FM","Federated States of Micronesia",1,"2014"
2261,"CB_2014_GA","Georgia",197,"2014"
21,"CB_2014_GU","Guam",2,"2014"
0,"CB_2014_HI","Hawaii",7,"2014"
1246,"CB_2014_IA","Iowa",314,"2014"
501,"CB_2014_ID","Idaho",11,"2014"
4031,"CB_2014_IL","Illinois",452,"2014"
1983,"CB_2014_IN","Indiana",95,"2014"
1128,"CB_2014_KS","Kansas",268,"2014"
1517,"CB_2014_KY","Kentucky",168,"2014"
1399,"CB_2014_LA","Louisiana",117,"2014"
1266,"CB_2014_MA","Massachusetts",23,"2014"
1515,"CB_2014_MD","Maryland",43,"2014"
